Timestamp: 1647980841.0345714, Acceleration: [' 0.02', ' 0.10', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.0445833, Acceleration: [' 0.05', '-0.07', ' 9.64'], Velocity: [' 0.00', '-0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.0546367, Acceleration: [' 0.01', ' 0.10', ' 9.58'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.064615, Acceleration: ['-0.15', ' 0.17', ' 9.60'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.074495, Acceleration: ['-0.08', ' 0.28', ' 9.84'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.0845597, Acceleration: ['-0.13', ' 0.12', ' 9.79'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.0949185, Acceleration: [' 0.00', ' 0.07', ' 9.74'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.1046422, Acceleration: [' 0.05', ' 0.11', ' 9.59'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.114564, Acceleration: [' 0.00', ' 0.21', ' 9.59'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.1246836, Acceleration: [' 0.10', ' 0.23', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.1345828, Acceleration: [' 0.04', ' 0.11', ' 9.76'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.144584, Acceleration: [' 0.05', ' 0.11', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.1546621, Acceleration: [' 0.07', ' 0.06', ' 9.59'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
