Timestamp: 1656013889.2080002, Acceleration: [' 0.23', '-0.36', ' 9.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.2180018, Acceleration: [' 0.35', '-0.03', ' 9.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.227962, Acceleration: [' 0.24', ' 0.20', ' 9.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.2380364, Acceleration: [' 0.69', ' 0.42', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.24801, Acceleration: [' 0.25', ' 0.33', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.258069, Acceleration: [' 0.85', ' 0.17', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.2680874, Acceleration: [' 0.29', ' 0.06', ' 9.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.2777948, Acceleration: [' 0.52', '-0.13', ' 9.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.294397, Acceleration: [' 0.28', ' 0.22', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.3010173, Acceleration: [' 0.82', ' 0.20', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.3077595, Acceleration: [' 0.45', '-0.17', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013889.3177772, Acceleration: [' 0.08', ' 0.04', ' 8.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.327985, Acceleration: [' 0.86', ' 0.32', '10.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.3383205, Acceleration: [' 0.36', ' 0.54', ' 9.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.348118, Acceleration: [' 0.70', ' 0.26', ' 9.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.3617046, Acceleration: [' 0.39', '-0.08', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.369355, Acceleration: [' 0.41', '-0.26', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.3778481, Acceleration: [' 0.50', '-0.21', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.389886, Acceleration: [' 0.06', ' 0.06', ' 8.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
Timestamp: 1656013889.3984947, Acceleration: [' 0.53', '-0.23', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.02'] 
