Timestamp: 1656014654.2131855, Acceleration: ['-0.83', ' 0.43', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2232206, Acceleration: ['-0.70', ' 0.57', '10.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2333047, Acceleration: ['-0.96', ' 0.23', ' 8.18'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2432456, Acceleration: ['-1.25', ' 0.08', ' 9.44'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2533462, Acceleration: ['-2.29', ' 0.13', ' 9.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2645783, Acceleration: ['-1.96', ' 0.62', '10.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2732716, Acceleration: ['-1.93', ' 0.60', '10.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2833025, Acceleration: ['-0.78', ' 0.56', '10.56'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.2932231, Acceleration: ['-0.60', ' 0.61', '10.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3034334, Acceleration: ['-0.64', ' 0.33', ' 9.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3132129, Acceleration: ['-0.82', ' 0.33', '10.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3237405, Acceleration: ['-1.06', ' 0.32', ' 8.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3336375, Acceleration: ['-1.76', '-0.00', ' 8.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3432944, Acceleration: ['-1.23', ' 0.12', ' 8.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3543303, Acceleration: ['-0.84', ' 0.57', '10.63'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3637278, Acceleration: ['-0.80', ' 0.57', '10.95'], Velocity: ['-0.01', ' 0.01', ' 0.01'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.373336, Acceleration: ['-0.71', ' 0.66', '11.13'], Velocity: ['-0.01', ' 0.01', ' 0.02'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3833754, Acceleration: ['-0.20', ' 0.35', '10.48'], Velocity: ['-0.02', ' 0.02', ' 0.03'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.3935916, Acceleration: ['-0.62', ' 0.15', ' 9.39'], Velocity: ['-0.02', ' 0.02', ' 0.03'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4034173, Acceleration: ['-1.24', ' 0.08', ' 8.57'], Velocity: ['-0.03', ' 0.02', ' 0.01'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4134805, Acceleration: ['-1.42', ' 0.20', '10.33'], Velocity: ['-0.05', ' 0.02', ' 0.02'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.423644, Acceleration: ['-1.73', ' 0.22', ' 9.37'], Velocity: ['-0.07', ' 0.02', ' 0.01'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4335244, Acceleration: ['-1.18', ' 0.26', '10.69'], Velocity: ['-0.08', ' 0.02', ' 0.02'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4433663, Acceleration: ['-1.57', ' 0.22', ' 9.90'], Velocity: ['-0.09', ' 0.03', ' 0.02'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4533806, Acceleration: ['-0.72', ' 0.53', '11.05'], Velocity: ['-0.10', ' 0.03', ' 0.04'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4643497, Acceleration: ['-0.11', ' 0.56', ' 9.93'], Velocity: ['-0.10', ' 0.04', ' 0.04'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4733913, Acceleration: [' 0.06', ' 0.40', ' 9.83'], Velocity: ['-0.10', ' 0.04', ' 0.04'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.4835691, Acceleration: ['-0.33', ' 0.31', ' 9.29'], Velocity: ['-0.11', ' 0.04', ' 0.03'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.49337, Acceleration: ['-0.70', '-0.10', ' 8.24'], Velocity: ['-0.11', ' 0.04', ' 0.02'], Position: ['-0.15', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.5033913, Acceleration: ['-1.40', ' 0.07', ' 9.93'], Velocity: ['-0.13', ' 0.04', ' 0.02'], Position: ['-0.16', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.5138648, Acceleration: ['-1.82', ' 0.17', ' 9.60'], Velocity: ['-0.14', ' 0.05', ' 0.02'], Position: ['-0.16', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.5233817, Acceleration: ['-1.08', ' 0.33', '11.40'], Velocity: ['-0.16', ' 0.05', ' 0.03'], Position: ['-0.16', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.533333, Acceleration: ['-1.09', ' 0.48', ' 9.84'], Velocity: ['-0.17', ' 0.05', ' 0.03'], Position: ['-0.16', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.5433185, Acceleration: ['-0.24', ' 0.37', '10.75'], Velocity: ['-0.17', ' 0.06', ' 0.04'], Position: ['-0.16', ' 0.14', ' 0.02'] 
Timestamp: 1656014654.553437, Acceleration: ['-0.71', ' 0.52', '10.13'], Velocity: ['-0.18', ' 0.06', ' 0.04'], Position: ['-0.16', ' 0.15', ' 0.02'] 
Timestamp: 1656014654.5633774, Acceleration: [' 0.13', ' 0.53', '10.12'], Velocity: ['-0.17', ' 0.07', ' 0.05'], Position: ['-0.17', ' 0.15', ' 0.02'] 
Timestamp: 1656014654.5734658, Acceleration: ['-0.34', ' 0.31', ' 9.65'], Velocity: ['-0.18', ' 0.07', ' 0.05'], Position: ['-0.17', ' 0.15', ' 0.02'] 
Timestamp: 1656014654.584234, Acceleration: ['-1.00', '-0.04', ' 9.53'], Velocity: ['-0.19', ' 0.07', ' 0.04'], Position: ['-0.17', ' 0.15', ' 0.02'] 
Timestamp: 1656014654.5933259, Acceleration: ['-1.02', '-0.02', ' 9.43'], Velocity: ['-0.20', ' 0.07', ' 0.04'], Position: ['-0.17', ' 0.15', ' 0.02'] 
Timestamp: 1656014654.6035411, Acceleration: ['-1.61', ' 0.07', ' 9.39'], Velocity: ['-0.21', ' 0.07', ' 0.04'], Position: ['-0.17', ' 0.15', ' 0.02'] 
Timestamp: 1656014654.6137068, Acceleration: ['-1.31', ' 0.43', '11.61'], Velocity: ['-0.23', ' 0.08', ' 0.05'], Position: ['-0.18', ' 0.15', ' 0.03'] 
Timestamp: 1656014654.6233377, Acceleration: ['-0.99', ' 0.63', '10.37'], Velocity: ['-0.24', ' 0.08', ' 0.06'], Position: ['-0.18', ' 0.15', ' 0.03'] 
