Timestamp: 1656015030.8560302, Acceleration: [' 0.32', ' 0.20', ' 8.74'], Velocity: [' 0.03', ' 0.02', '-0.11'], Position: [' 0.43', ' 0.45', '-1.93'] 
Timestamp: 1656015030.955538, Acceleration: [' 0.06', ' 0.16', ' 8.89'], Velocity: [' 0.04', ' 0.04', '-0.20'], Position: [' 0.43', ' 0.45', '-1.96'] 
Timestamp: 1656015031.0555358, Acceleration: [' 0.46', ' 0.21', ' 9.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.44', ' 0.46', '-1.98'] 
Timestamp: 1656015031.1555555, Acceleration: ['-0.24', ' 0.18', ' 8.48'], Velocity: ['-0.02', ' 0.02', '-0.13'], Position: [' 0.44', ' 0.46', '-2.00'] 
Timestamp: 1656015031.2555082, Acceleration: [' 0.18', ' 0.18', ' 9.75'], Velocity: ['-0.01', ' 0.04', '-0.14'], Position: [' 0.44', ' 0.46', '-2.01'] 
Timestamp: 1656015031.3555098, Acceleration: [' 0.44', ' 0.33', ' 8.76'], Velocity: [' 0.04', ' 0.07', '-0.24'], Position: [' 0.44', ' 0.47', '-2.04'] 
Timestamp: 1656015031.4555006, Acceleration: [' 0.49', ' 0.21', ' 8.81'], Velocity: [' 0.09', ' 0.09', '-0.34'], Position: [' 0.46', ' 0.48', '-2.08'] 
Timestamp: 1656015031.5555177, Acceleration: ['-0.04', ' 0.17', ' 8.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.46', ' 0.50', '-2.13'] 
Timestamp: 1656015031.6555195, Acceleration: [' 0.38', ' 0.28', ' 9.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.47', ' 0.50', '-2.13'] 
Timestamp: 1656015031.7555354, Acceleration: [' 0.02', ' 0.22', ' 8.56'], Velocity: [' 0.00', ' 0.02', '-0.12'], Position: [' 0.47', ' 0.50', '-2.15'] 
Timestamp: 1656015031.855498, Acceleration: [' 0.22', ' 0.29', ' 9.68'], Velocity: [' 0.02', ' 0.05', '-0.14'], Position: [' 0.47', ' 0.51', '-2.17'] 
Timestamp: 1656015031.955504, Acceleration: [' 0.42', ' 0.27', ' 9.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.48', ' 0.52', '-2.19'] 
Timestamp: 1656015032.0555027, Acceleration: [' 0.46', ' 0.17', ' 8.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.49', ' 0.52', '-2.20'] 
Timestamp: 1656015032.1555083, Acceleration: ['-0.08', ' 0.11', ' 8.76'], Velocity: ['-0.01', ' 0.01', '-0.10'], Position: [' 0.49', ' 0.52', '-2.22'] 
Timestamp: 1656015032.2555087, Acceleration: [' 0.43', ' 0.00', ' 9.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.49', ' 0.52', '-2.23'] 
Timestamp: 1656015032.3555453, Acceleration: [' 0.63', ' 0.25', ' 8.56'], Velocity: [' 0.06', ' 0.02', '-0.12'], Position: [' 0.50', ' 0.53', '-2.25'] 
Timestamp: 1656015032.455575, Acceleration: [' 0.37', ' 0.34', ' 8.66'], Velocity: [' 0.10', ' 0.06', '-0.24'], Position: [' 0.51', ' 0.53', '-2.28'] 
Timestamp: 1656015032.5555105, Acceleration: [' 0.31', ' 0.21', ' 9.10'], Velocity: [' 0.13', ' 0.08', '-0.31'], Position: [' 0.53', ' 0.54', '-2.32'] 
Timestamp: 1656015032.6555157, Acceleration: [' 0.68', ' 0.19', ' 9.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.55', ' 0.55', '-2.36'] 
Timestamp: 1656015032.755512, Acceleration: [' 0.00', ' 0.13', ' 8.58'], Velocity: [' 0.00', ' 0.01', '-0.12'], Position: [' 0.55', ' 0.56', '-2.37'] 
Timestamp: 1656015032.8555167, Acceleration: ['-0.07', '-0.06', ' 9.49'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.55', ' 0.56', '-2.39'] 
Timestamp: 1656015032.9554977, Acceleration: [' 0.44', ' 0.27', ' 8.54'], Velocity: [' 0.04', ' 0.03', '-0.13'], Position: [' 0.56', ' 0.56', '-2.41'] 
Timestamp: 1656015033.0555038, Acceleration: [' 0.44', ' 0.23', ' 8.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.57', ' 0.57', '-2.44'] 
Timestamp: 1656015033.155504, Acceleration: [' 0.15', ' 0.25', ' 8.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.57', ' 0.57', '-2.45'] 
Timestamp: 1656015033.2554982, Acceleration: [' 0.68', ' 0.04', ' 9.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.58', ' 0.57', '-2.46'] 
Timestamp: 1656015033.3554995, Acceleration: ['-0.10', ' 0.37', ' 8.39'], Velocity: ['-0.01', ' 0.04', '-0.14'], Position: [' 0.58', ' 0.58', '-2.48'] 
Timestamp: 1656015033.4555023, Acceleration: ['-0.02', ' 0.25', ' 9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.58', ' 0.58', '-2.50'] 
Timestamp: 1656015033.5555036, Acceleration: [' 0.40', ' 0.34', ' 9.34'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.58', ' 0.59', '-2.51'] 
Timestamp: 1656015033.655512, Acceleration: [' 0.66', ' 0.21', ' 9.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.59', ' 0.59', '-2.52'] 
Timestamp: 1656015033.7555144, Acceleration: [' 0.19', ' 0.35', ' 8.64'], Velocity: [' 0.02', ' 0.04', '-0.12'], Position: [' 0.60', ' 0.60', '-2.53'] 
Timestamp: 1656015033.8555017, Acceleration: [' 0.61', ' 0.05', ' 9.39'], Velocity: [' 0.08', ' 0.04', '-0.16'], Position: [' 0.61', ' 0.60', '-2.55'] 
