Timestamp: 1656014515.7102094, Acceleration: [' 0.10', '-0.79', '-10.26'], Velocity: [' 0.29', '-0.39', '-8.97'], Position: [' 0.19', '-0.10', '-3.64'] 
Timestamp: 1656014515.7198431, Acceleration: ['-0.03', '-0.66', '-8.40'], Velocity: [' 0.29', '-0.39', '-9.14'], Position: [' 0.20', '-0.11', '-3.73'] 
Timestamp: 1656014515.7302613, Acceleration: [' 1.06', '-0.64', '-8.97'], Velocity: [' 0.30', '-0.40', '-9.34'], Position: [' 0.20', '-0.11', '-3.83'] 
Timestamp: 1656014515.7411754, Acceleration: [' 1.06', '-0.62', '-8.99'], Velocity: [' 0.31', '-0.41', '-9.54'], Position: [' 0.20', '-0.11', '-3.93'] 
Timestamp: 1656014515.7504425, Acceleration: [' 0.95', '-0.92', '-10.48'], Velocity: [' 0.32', '-0.42', '-9.73'], Position: [' 0.21', '-0.12', '-4.02'] 
Timestamp: 1656014515.7627728, Acceleration: ['-0.49', '-0.75', '-9.18'], Velocity: [' 0.31', '-0.43', '-9.96'], Position: [' 0.21', '-0.12', '-4.15'] 
Timestamp: 1656014515.7703564, Acceleration: [' 0.11', '-0.89', '-10.82'], Velocity: [' 0.31', '-0.43', '-10.12'], Position: [' 0.21', '-0.13', '-4.23'] 
Timestamp: 1656014515.780075, Acceleration: [' 0.56', '-1.00', '-11.02'], Velocity: [' 0.32', '-0.44', '-10.32'], Position: [' 0.22', '-0.13', '-4.33'] 
Timestamp: 1656014515.7909608, Acceleration: ['-0.57', '-0.80', '-10.68'], Velocity: [' 0.31', '-0.45', '-10.55'], Position: [' 0.22', '-0.14', '-4.44'] 
Timestamp: 1656014515.8002105, Acceleration: [' 0.10', '-0.89', '-9.17'], Velocity: [' 0.31', '-0.46', '-10.72'], Position: [' 0.22', '-0.14', '-4.54'] 
Timestamp: 1656014515.8107083, Acceleration: ['-0.26', '-0.41', '-8.71'], Velocity: [' 0.31', '-0.46', '-10.92'], Position: [' 0.22', '-0.14', '-4.66'] 
Timestamp: 1656014515.8198035, Acceleration: [' 0.75', '-0.53', '-8.67'], Velocity: [' 0.32', '-0.47', '-11.08'], Position: [' 0.23', '-0.15', '-4.76'] 
Timestamp: 1656014515.830413, Acceleration: [' 1.06', '-0.49', '-8.78'], Velocity: [' 0.33', '-0.47', '-11.28'], Position: [' 0.23', '-0.15', '-4.88'] 
Timestamp: 1656014515.8400574, Acceleration: [' 1.16', '-0.89', '-10.71'], Velocity: [' 0.34', '-0.48', '-11.48'], Position: [' 0.23', '-0.16', '-4.99'] 
Timestamp: 1656014515.850343, Acceleration: [' 1.02', '-0.96', '-9.83'], Velocity: [' 0.35', '-0.49', '-11.68'], Position: [' 0.24', '-0.16', '-5.11'] 
Timestamp: 1656014515.8641825, Acceleration: [' 0.24', '-0.69', '-8.84'], Velocity: [' 0.35', '-0.50', '-11.94'], Position: [' 0.24', '-0.17', '-5.28'] 
Timestamp: 1656014515.8724232, Acceleration: [' 0.19', '-0.70', '-9.03'], Velocity: [' 0.36', '-0.51', '-12.09'], Position: [' 0.25', '-0.18', '-5.38'] 
Timestamp: 1656014515.879858, Acceleration: ['-0.41', '-0.67', '-10.17'], Velocity: [' 0.35', '-0.51', '-12.24'], Position: [' 0.25', '-0.18', '-5.47'] 
Timestamp: 1656014515.889723, Acceleration: [' 0.26', '-0.80', '-10.22'], Velocity: [' 0.35', '-0.52', '-12.44'], Position: [' 0.25', '-0.18', '-5.60'] 
Timestamp: 1656014515.8999133, Acceleration: ['-0.13', '-0.56', '-9.14'], Velocity: [' 0.35', '-0.53', '-12.63'], Position: [' 0.26', '-0.19', '-5.73'] 
Timestamp: 1656014515.9102728, Acceleration: [' 0.65', '-0.60', '-8.82'], Velocity: [' 0.36', '-0.53', '-12.83'], Position: [' 0.26', '-0.19', '-5.86'] 
Timestamp: 1656014515.9199371, Acceleration: [' 0.94', '-0.41', '-8.51'], Velocity: [' 0.37', '-0.54', '-13.00'], Position: [' 0.26', '-0.20', '-5.99'] 
Timestamp: 1656014515.929839, Acceleration: [' 1.10', '-0.62', '-10.23'], Velocity: [' 0.38', '-0.54', '-13.20'], Position: [' 0.27', '-0.21', '-6.12'] 
Timestamp: 1656014515.940207, Acceleration: [' 1.30', '-1.02', '-9.82'], Velocity: [' 0.39', '-0.55', '-13.41'], Position: [' 0.27', '-0.21', '-6.26'] 
Timestamp: 1656014515.9501238, Acceleration: [' 0.12', '-0.99', '-11.63'], Velocity: [' 0.39', '-0.56', '-13.62'], Position: [' 0.28', '-0.22', '-6.39'] 
Timestamp: 1656014515.959921, Acceleration: [' 0.14', '-0.87', '-9.81'], Velocity: [' 0.40', '-0.57', '-13.81'], Position: [' 0.28', '-0.22', '-6.53'] 
Timestamp: 1656014515.9699829, Acceleration: ['-0.70', '-0.61', '-9.93'], Velocity: [' 0.39', '-0.58', '-14.01'], Position: [' 0.28', '-0.23', '-6.67'] 
Timestamp: 1656014515.979968, Acceleration: [' 0.20', '-0.62', '-8.76'], Velocity: [' 0.39', '-0.58', '-14.19'], Position: [' 0.29', '-0.23', '-6.81'] 
Timestamp: 1656014515.9899383, Acceleration: [' 0.05', '-0.44', '-8.92'], Velocity: [' 0.39', '-0.59', '-14.38'], Position: [' 0.29', '-0.24', '-6.96'] 
Timestamp: 1656014516.000061, Acceleration: [' 0.71', '-0.64', '-9.35'], Velocity: [' 0.40', '-0.59', '-14.58'], Position: [' 0.29', '-0.25', '-7.11'] 
Timestamp: 1656014516.0098457, Acceleration: [' 0.83', '-0.45', '-8.87'], Velocity: [' 0.41', '-0.60', '-14.76'], Position: [' 0.30', '-0.25', '-7.25'] 
Timestamp: 1656014516.0199115, Acceleration: [' 0.78', '-0.53', '-10.04'], Velocity: [' 0.41', '-0.60', '-14.96'], Position: [' 0.30', '-0.26', '-7.40'] 
Timestamp: 1656014516.0303726, Acceleration: [' 1.11', '-0.76', '-9.55'], Velocity: [' 0.43', '-0.61', '-15.16'], Position: [' 0.31', '-0.26', '-7.56'] 
Timestamp: 1656014516.0402536, Acceleration: [' 0.16', '-0.83', '-11.47'], Velocity: [' 0.43', '-0.62', '-15.37'], Position: [' 0.31', '-0.27', '-7.72'] 
Timestamp: 1656014516.0501711, Acceleration: [' 0.25', '-0.91', '-10.16'], Velocity: [' 0.43', '-0.63', '-15.57'], Position: [' 0.32', '-0.28', '-7.87'] 
Timestamp: 1656014516.0599966, Acceleration: ['-0.79', '-0.74', '-10.23'], Velocity: [' 0.42', '-0.64', '-15.77'], Position: [' 0.32', '-0.28', '-8.03'] 
