Timestamp: 1656015171.5415745, Acceleration: [' 0.34', ' 0.30', '-10.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.75'] 
Timestamp: 1656015171.5511315, Acceleration: [' 0.87', ' 0.49', '-10.34'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.76'] 
Timestamp: 1656015171.5629117, Acceleration: [' 0.50', ' 0.13', '-10.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.76'] 
Timestamp: 1656015171.5731497, Acceleration: [' 0.39', ' 0.26', '-9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.76'] 
Timestamp: 1656015171.5809753, Acceleration: [' 0.44', ' 0.22', '-9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.77'] 
Timestamp: 1656015171.5909798, Acceleration: [' 0.27', ' 0.29', '-9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.77'] 
Timestamp: 1656015171.600581, Acceleration: [' 0.44', ' 0.26', '-9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.77'] 
Timestamp: 1656015171.610662, Acceleration: [' 0.10', ' 0.36', '-10.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.78'] 
Timestamp: 1656015171.6219947, Acceleration: [' 0.81', ' 0.19', '-10.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.78'] 
Timestamp: 1656015171.630611, Acceleration: [' 0.20', ' 0.38', '-10.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.78'] 
Timestamp: 1656015171.6407838, Acceleration: [' 0.87', ' 0.32', '-10.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.78'] 
Timestamp: 1656015171.6507506, Acceleration: [' 0.28', ' 0.29', '-10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.79'] 
Timestamp: 1656015171.660671, Acceleration: [' 0.54', ' 0.23', '-9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.79'] 
Timestamp: 1656015171.670595, Acceleration: [' 0.31', ' 0.14', '-10.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.79'] 
Timestamp: 1656015171.6809995, Acceleration: [' 0.34', ' 0.23', '-9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.80'] 
Timestamp: 1656015171.6907291, Acceleration: [' 0.54', ' 0.27', '-10.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.80'] 
Timestamp: 1656015171.700642, Acceleration: [' 0.10', ' 0.36', '-9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.80'] 
Timestamp: 1656015171.7113938, Acceleration: [' 0.78', ' 0.17', '-10.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.81'] 
Timestamp: 1656015171.7207565, Acceleration: [' 0.16', ' 0.27', '-9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.81'] 
Timestamp: 1656015171.7306879, Acceleration: [' 0.81', ' 0.23', '-10.52'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.81'] 
Timestamp: 1656015171.7408361, Acceleration: [' 0.20', ' 0.36', '-9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.81'] 
Timestamp: 1656015171.7508276, Acceleration: [' 0.74', ' 0.19', '-10.28'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.82'] 
Timestamp: 1656015171.7606127, Acceleration: [' 0.21', ' 0.10', '-10.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.82'] 
Timestamp: 1656015171.7707038, Acceleration: [' 0.30', ' 0.07', '-9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.82'] 
Timestamp: 1656015171.7807994, Acceleration: [' 0.33', ' 0.13', '-10.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.83'] 
Timestamp: 1656015171.7906084, Acceleration: [' 0.02', ' 0.32', '-9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.83'] 
Timestamp: 1656015171.8006442, Acceleration: [' 0.49', ' 0.26', '-10.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.83'] 
Timestamp: 1656015171.811108, Acceleration: [' 0.06', ' 0.30', '-9.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.84'] 
