Timestamp: 1656014462.0426104, Acceleration: [' 0.31', '-0.37', '26.75'], Velocity: [' 0.71', '-0.69', '21.99'], Position: [' 0.54', '-0.68', '15.92'] 
Timestamp: 1656014462.0521052, Acceleration: [' 0.39', '-0.53', '25.74'], Velocity: [' 0.72', '-0.69', '22.14'], Position: [' 0.55', '-0.69', '16.13'] 
Timestamp: 1656014462.0621078, Acceleration: [' 0.40', ' 0.40', '27.56'], Velocity: [' 0.72', '-0.69', '22.32'], Position: [' 0.55', '-0.70', '16.35'] 
Timestamp: 1656014462.0727303, Acceleration: [' 0.20', ' 1.11', '27.18'], Velocity: [' 0.72', '-0.68', '22.50'], Position: [' 0.56', '-0.70', '16.59'] 
Timestamp: 1656014462.0826042, Acceleration: [' 0.17', ' 0.51', '25.54'], Velocity: [' 0.72', '-0.67', '22.66'], Position: [' 0.57', '-0.71', '16.82'] 
Timestamp: 1656014462.0920374, Acceleration: [' 0.09', ' 0.62', '25.47'], Velocity: [' 0.72', '-0.67', '22.80'], Position: [' 0.58', '-0.72', '17.03'] 
Timestamp: 1656014462.1021023, Acceleration: [' 0.61', ' 0.77', '25.00'], Velocity: [' 0.73', '-0.66', '22.96'], Position: [' 0.58', '-0.72', '17.27'] 
Timestamp: 1656014462.112247, Acceleration: [' 0.51', '-0.65', '25.38'], Velocity: [' 0.74', '-0.67', '23.12'], Position: [' 0.59', '-0.73', '17.50'] 
Timestamp: 1656014462.1220317, Acceleration: [' 0.40', '-0.55', '25.64'], Velocity: [' 0.74', '-0.67', '23.27'], Position: [' 0.60', '-0.74', '17.73'] 
Timestamp: 1656014462.1320903, Acceleration: [' 0.14', '-0.33', '27.26'], Velocity: [' 0.74', '-0.67', '23.45'], Position: [' 0.61', '-0.74', '17.97'] 
Timestamp: 1656014462.142397, Acceleration: [' 0.26', ' 0.67', '27.27'], Velocity: [' 0.74', '-0.67', '23.63'], Position: [' 0.61', '-0.75', '18.21'] 
Timestamp: 1656014462.1520615, Acceleration: [' 0.27', ' 0.27', '27.22'], Velocity: [' 0.75', '-0.67', '23.79'], Position: [' 0.62', '-0.76', '18.44'] 
Timestamp: 1656014462.1621468, Acceleration: [' 0.15', ' 1.04', '26.17'], Velocity: [' 0.75', '-0.65', '23.96'], Position: [' 0.63', '-0.76', '18.68'] 
Timestamp: 1656014462.1723151, Acceleration: [' 0.08', ' 0.40', '26.96'], Velocity: [' 0.75', '-0.65', '24.13'], Position: [' 0.64', '-0.77', '18.93'] 
Timestamp: 1656014462.1822278, Acceleration: [' 0.39', ' 0.91', '25.52'], Velocity: [' 0.75', '-0.64', '24.29'], Position: [' 0.64', '-0.78', '19.17'] 
Timestamp: 1656014462.1920424, Acceleration: [' 0.50', ' 0.05', '25.29'], Velocity: [' 0.76', '-0.64', '24.44'], Position: [' 0.65', '-0.78', '19.41'] 
Timestamp: 1656014462.2023034, Acceleration: [' 0.60', '-0.37', '24.86'], Velocity: [' 0.76', '-0.64', '24.60'], Position: [' 0.66', '-0.79', '19.67'] 
Timestamp: 1656014462.2122068, Acceleration: [' 0.40', '-0.46', '26.85'], Velocity: [' 0.77', '-0.65', '24.76'], Position: [' 0.67', '-0.80', '19.91'] 
Timestamp: 1656014462.222024, Acceleration: [' 0.14', '-0.50', '26.99'], Velocity: [' 0.77', '-0.65', '24.93'], Position: [' 0.67', '-0.80', '20.16'] 
Timestamp: 1656014462.23277, Acceleration: [' 0.13', ' 0.73', '27.89'], Velocity: [' 0.77', '-0.65', '25.13'], Position: [' 0.68', '-0.81', '20.43'] 
Timestamp: 1656014462.2421503, Acceleration: [' 0.14', ' 0.54', '25.94'], Velocity: [' 0.77', '-0.64', '25.28'], Position: [' 0.69', '-0.81', '20.67'] 
Timestamp: 1656014462.2519934, Acceleration: [' 0.32', ' 1.34', '26.47'], Velocity: [' 0.78', '-0.63', '25.44'], Position: [' 0.70', '-0.82', '20.92'] 
Timestamp: 1656014462.2635262, Acceleration: [' 0.25', ' 0.49', '25.72'], Velocity: [' 0.78', '-0.62', '25.63'], Position: [' 0.71', '-0.83', '21.21'] 
Timestamp: 1656014462.2721362, Acceleration: [' 0.40', ' 0.69', '25.73'], Velocity: [' 0.78', '-0.62', '25.76'], Position: [' 0.71', '-0.83', '21.44'] 
Timestamp: 1656014462.2830544, Acceleration: [' 0.34', ' 0.03', '25.67'], Velocity: [' 0.79', '-0.62', '25.94'], Position: [' 0.72', '-0.84', '21.72'] 
Timestamp: 1656014462.2930639, Acceleration: [' 0.51', '-0.07', '25.03'], Velocity: [' 0.79', '-0.62', '26.09'], Position: [' 0.73', '-0.85', '21.98'] 
Timestamp: 1656014462.3022838, Acceleration: [' 0.43', '-0.20', '26.44'], Velocity: [' 0.79', '-0.62', '26.24'], Position: [' 0.74', '-0.85', '22.22'] 
Timestamp: 1656014462.312153, Acceleration: [' 0.26', '-0.48', '26.18'], Velocity: [' 0.80', '-0.62', '26.40'], Position: [' 0.74', '-0.86', '22.49'] 
Timestamp: 1656014462.3234365, Acceleration: [' 0.11', ' 0.66', '28.12'], Velocity: [' 0.80', '-0.62', '26.61'], Position: [' 0.75', '-0.87', '22.79'] 
Timestamp: 1656014462.3324194, Acceleration: ['-0.10', ' 0.58', '26.57'], Velocity: [' 0.80', '-0.61', '26.76'], Position: [' 0.76', '-0.87', '23.03'] 
Timestamp: 1656014462.3421245, Acceleration: [' 0.22', ' 1.72', '26.64'], Velocity: [' 0.80', '-0.59', '26.92'], Position: [' 0.77', '-0.88', '23.29'] 
