Timestamp: 1652971677.415221, Acceleration: [' 0.35', ' 0.68', ' 1.90'], Velocity: [' 0.38', ' 0.70', '-9.98'], Position: [' 0.27', ' 0.45', '-6.76'] 
Timestamp: 1652971677.4253364, Acceleration: [' 0.40', ' 0.62', ' 1.92'], Velocity: [' 0.39', ' 0.71', '-10.06'], Position: [' 0.28', ' 0.46', '-6.86'] 
Timestamp: 1652971677.4353018, Acceleration: [' 0.08', ' 0.64', ' 1.94'], Velocity: [' 0.39', ' 0.71', '-10.13'], Position: [' 0.28', ' 0.47', '-6.96'] 
Timestamp: 1652971677.4451656, Acceleration: [' 0.13', ' 0.59', ' 1.86'], Velocity: [' 0.39', ' 0.72', '-10.21'], Position: [' 0.29', ' 0.47', '-7.06'] 
Timestamp: 1652971677.4552767, Acceleration: [' 0.14', ' 0.70', ' 1.90'], Velocity: [' 0.39', ' 0.73', '-10.29'], Position: [' 0.29', ' 0.48', '-7.17'] 
Timestamp: 1652971677.4653292, Acceleration: [' 0.49', ' 0.74', ' 2.03'], Velocity: [' 0.39', ' 0.73', '-10.37'], Position: [' 0.29', ' 0.49', '-7.27'] 
Timestamp: 1652971677.475143, Acceleration: ['-0.02', ' 0.63', ' 1.87'], Velocity: [' 0.39', ' 0.74', '-10.45'], Position: [' 0.30', ' 0.50', '-7.38'] 
Timestamp: 1652971677.4851987, Acceleration: [' 0.02', ' 0.50', ' 1.86'], Velocity: [' 0.39', ' 0.75', '-10.53'], Position: [' 0.30', ' 0.50', '-7.48'] 
Timestamp: 1652971677.4953759, Acceleration: [' 0.18', ' 0.42', ' 1.88'], Velocity: [' 0.40', ' 0.75', '-10.61'], Position: [' 0.30', ' 0.51', '-7.59'] 
Timestamp: 1652971677.5054078, Acceleration: [' 0.36', ' 0.50', ' 1.81'], Velocity: [' 0.40', ' 0.75', '-10.69'], Position: [' 0.31', ' 0.52', '-7.70'] 
Timestamp: 1652971677.5167863, Acceleration: [' 0.59', ' 0.63', ' 1.88'], Velocity: [' 0.41', ' 0.76', '-10.78'], Position: [' 0.31', ' 0.53', '-7.82'] 
Timestamp: 1652971677.5251966, Acceleration: [' 0.29', ' 0.55', ' 1.83'], Velocity: [' 0.41', ' 0.77', '-10.85'], Position: [' 0.32', ' 0.53', '-7.91'] 
Timestamp: 1652971677.5352435, Acceleration: [' 0.58', ' 0.47', ' 1.87'], Velocity: [' 0.41', ' 0.77', '-10.93'], Position: [' 0.32', ' 0.54', '-8.02'] 
Timestamp: 1652971677.5533676, Acceleration: [' 0.07', ' 0.41', ' 1.66'], Velocity: [' 0.42', ' 0.78', '-11.07'], Position: [' 0.33', ' 0.56', '-8.23'] 
Timestamp: 1652971677.5610163, Acceleration: [' 0.33', ' 0.67', ' 1.97'], Velocity: [' 0.42', ' 0.78', '-11.13'], Position: [' 0.33', ' 0.56', '-8.31'] 
Timestamp: 1652971677.568917, Acceleration: [' 0.12', ' 0.68', ' 1.86'], Velocity: [' 0.42', ' 0.79', '-11.20'], Position: [' 0.34', ' 0.57', '-8.40'] 
