Timestamp: 1656014576.4689553, Acceleration: ['-0.84', ' 0.20', '-9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.73'] 
Timestamp: 1656014576.4780848, Acceleration: ['-0.71', ' 0.19', '-9.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.74'] 
Timestamp: 1656014576.4880023, Acceleration: ['-0.99', ' 0.04', '-9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.74'] 
Timestamp: 1656014576.5008283, Acceleration: ['-1.75', '-0.09', '-9.43'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.74'] 
Timestamp: 1656014576.5078902, Acceleration: ['-1.05', '-0.28', '-8.38'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.75'] 
Timestamp: 1656014576.5183, Acceleration: ['-1.73', ' 0.06', '-9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.75'] 
Timestamp: 1656014576.5284846, Acceleration: ['-1.22', ' 0.32', '-11.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.75'] 
Timestamp: 1656014576.5387204, Acceleration: ['-0.77', ' 0.13', '-9.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.76'] 
Timestamp: 1656014576.5481584, Acceleration: ['-0.00', '-0.06', '-9.27'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.76'] 
Timestamp: 1656014576.5582936, Acceleration: ['-0.69', ' 0.02', '-10.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.76'] 
Timestamp: 1656014576.5686324, Acceleration: ['-0.12', '-0.02', '-9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.76'] 
Timestamp: 1656014576.578061, Acceleration: ['-0.89', ' 0.04', '-9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.77'] 
Timestamp: 1656014576.5882158, Acceleration: ['-0.62', '-0.26', '-8.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.77'] 
Timestamp: 1656014576.5984578, Acceleration: ['-1.46', '-0.21', '-8.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.77'] 
Timestamp: 1656014576.608109, Acceleration: ['-1.61', '-0.10', '-9.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.78'] 
Timestamp: 1656014576.6188247, Acceleration: ['-1.30', ' 0.18', '-11.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.78'] 
Timestamp: 1656014576.6280909, Acceleration: ['-0.88', ' 0.24', '-10.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.78'] 
Timestamp: 1656014576.6380928, Acceleration: [' 0.16', ' 0.13', '-10.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.78'] 
Timestamp: 1656014576.6480927, Acceleration: ['-0.22', '-0.05', '-8.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.79'] 
Timestamp: 1656014576.658128, Acceleration: ['-0.00', '-0.22', '-9.12'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.79'] 
Timestamp: 1656014576.6679842, Acceleration: ['-0.97', ' 0.02', '-8.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.79'] 
Timestamp: 1656014576.6780078, Acceleration: ['-0.81', '-0.08', '-8.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.80'] 
Timestamp: 1656014576.6881325, Acceleration: ['-1.16', '-0.04', '-9.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.80'] 
Timestamp: 1656014576.6984167, Acceleration: ['-1.31', '-0.12', '-8.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.80'] 
Timestamp: 1656014576.7081132, Acceleration: ['-0.96', '-0.02', '-10.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.80'] 
Timestamp: 1656014576.7179773, Acceleration: ['-1.17', ' 0.28', '-10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.81'] 
Timestamp: 1656014576.7280521, Acceleration: [' 0.06', ' 0.28', '-11.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.81'] 
Timestamp: 1656014576.7380373, Acceleration: ['-0.01', ' 0.14', '-9.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.81'] 
Timestamp: 1656014576.7479596, Acceleration: [' 0.42', '-0.29', '-8.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.82'] 
Timestamp: 1656014576.758137, Acceleration: ['-0.73', '-0.08', '-8.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.05', '-0.01', '-1.82'] 
